from,to
1197,Litchfield
1198,Hepburn
1199,Port Pirie
1200,Cardinia
1201,Bass Coast
1202,Muswellbrook
1203,Parramatta
1204,Parramatta
1205,Hornsby
1206,Circular Head
1207,Wakefield
1208,Wakefield
1209,Wakefield
1210,Greater Geelong
1211,Onkaparinga
1212,Adelaide Hills
1213,Wyndham
1214,Northern Beaches
1215,Upper Lachlan
1216,Wollondilly
1217,Hawkesbury
1218,Fraser Coast
1219,Alexandrina
1220,Frankston
1221,Fraser Coast
1222,Moreton Bay
1223,Sunshine Coast
1224,Port Adelaide Enfield
1225,Casey
1226,Fairfield
1227,Toowoomba
1228,Glenelg
1229,Maranoa
1230,Douglas
1231,Brisbane
1232,Devonport
1233,Campaspe
1234,Randwick
1235,Randwick
1236,Mornington Peninsula
1237,Wingecarribee
1238,Wingecarribee
1239,Liverpool
1240,Liverpool
1241,Waverley
1242,Wollondilly
1243,Flinders (Qld)
1244,Livingstone
1245,Upper Hunter
1246,Berri Barmera
1247,Onkaparinga
1248,Brisbane
1249,Adelaide Hills
1250,Murrumbidgee
1251,Burwood
1252,Goulburn Mulwaree
1253,Banana
1254,Alice Springs
1255,Murray River
1256,Mitchell
1257,Nambucca Valley
1258,Moira
1259,South Burnett
1260,Moreton Bay
1261,Somerset
1262,Dubbo
1263,Moonee Valley
1264,Mackay
1265,Victoria Daly
1266,Victoria Daly
1267,Fraser Coast
1268,Brisbane
1269,Manningham
1270,Adelaide Hills
1271,Lachlan
1272,Inverell
1273,Gwydir
1274,Port Adelaide Enfield
1275,Fraser Coast
1276,Gympie
1277,Greater Shepparton
1278,Gold Coast
1279,Bass Coast
1280,Macedon Ranges
1281,Central Coast (NSW)
1282,Isaac
1283,Inverell
1284,Cardinia
1285,Southern Downs
1286,Moorabool
1287,Coffs Harbour
1288,Sunshine Coast
1289,Ipswich
1290,Melton
1291,Melton
1292,Bayside (NSW)
1293,Canterbury-Bankstown
1294,Manningham
1295,Unincorporated SA
1296,Snowy Valleys
1297,Salisbury
1298,Adelaide Plains
1299,Banyule
1300,Yarra Ranges
1301,Greater Bendigo
1302,Cloncurry
1303,Cloncurry
1304,Latrobe (Vic.)
1305,Blacktown
1306,Lithgow
1307,Gold Coast
1308,Greater Hume
1309,Adelaide Hills
1310,Charles Sturt
1311,Maroondah
1312,Federation
1313,Federation
1314,South Burnett
1315,Eurobodalla
1316,McKinlay
1317,Wyndham
1318,Greater Shepparton
1319,Strathbogie
1320,South Burnett
1321,Canterbury-Bankstown
1322,Murrindindi
1323,Brisbane
1324,Greater Geelong
1325,Wagga Wagga
1326,Lockyer Valley
1327,Mid-Coast
1328,Toowoomba
1329,Lithgow
1330,Sunshine Coast
1331,Latrobe (Vic.)
1332,Coonamble
1333,Canterbury-Bankstown
1334,Mornington Peninsula
1335,Benalla
1336,Bayside (NSW)
1337,Bayside (NSW)
1338,Hornsby
1339,Campbelltown (NSW)
1340,Launceston
1341,Richmond Valley
1342,Shoalhaven
1343,Lockyer Valley
1344,Burdekin
1345,Sunshine Coast
1346,Nambucca Valley
1347,Moyne
1348,Kempsey
1349,Carrathool
1350,Gold Coast
1351,Bundaberg
1352,Barcoo
1353,Bathurst
1354,Brisbane
1355,Scenic Rim
1356,Ballarat
1357,Campbelltown (NSW)
1358,Parramatta
1359,Richmond Valley
1360,Wollondilly
1361,Ballina
1362,Circular Head
1363,Mareeba
1364,Isaac
1365,Southern Downs
1366,Wattle Range
1367,Latrobe (Vic.)
1368,Whitsunday
1369,Brimbank
1370,Mid Murray
1371,Gladstone
1372,Baw Baw
1373,Gympie
1374,Dubbo
1375,Port Adelaide Enfield
1376,Eurobodalla
1377,Indigo
1378,Indigo
1379,Indigo
1380,Indigo
1381,Burdekin
1382,Yarra Ranges
1383,Palmerston
1384,Hobsons Bay
1385,Hobsons Bay
1386,Whitsunday
1387,Temora
1388,Latrobe (Tas.)
1389,Moira
1390,Nillumbik
1391,Toowoomba
1392,Townsville
1393,Central Coast (NSW)
1394,Tatiara
1395,Wyndham
1396,Central Highlands (Qld)
1397,Central Highlands (Qld)
1398,Douglas
1399,Yarra
1400,Playford
1401,Bayside (NSW)
1402,North Burnett
1403,Fairfield
1404,Gold Coast
1405,Liverpool Plains
1406,Gold Coast
1407,Dubbo
1408,Monash
1409,Greater Shepparton
1410,Toowoomba
1411,Noosa
1412,Noosa
1413,Noosa
1414,Shoalhaven
1415,Karoonda East Murray
1416,Maranoa
1417,Ipswich
1418,Livingstone
1419,Clarence Valley
1420,Byron
1421,Ipswich
1422,Port Augusta
1423,Fraser Coast
1424,Lake Macquarie
1425,Unincorporated Vic
1426,Palmerston
1427,Mid-Western
1428,Isaac
1429,Lake Macquarie
1430,Eurobodalla
1431,Fraser Coast
1432,Gold Coast
1433,Greater Shepparton
1434,Greater Dandenong
1435,Gannawarra
1436,Marion
1437,Onkaparinga
1438,Scenic Rim
1439,Stonnington
1440,Banana
1441,Greater Bendigo
1442,Buloke
1443,Moree Plains
1444,Blue Mountains
1445,Surf Coast
1446,Adelaide Hills
1447,Toowoomba
1448,Hornsby
1449,Griffith
1450,Canterbury-Bankstown
1451,Adelaide Hills
1452,Unincorporated ACT
1453,Lismore
1454,Ceduna
1455,Snowy Monaro
1456,Central Coast (NSW)
1457,Parramatta
1458,Baw Baw
1459,Moira
1460,Gold Coast
1461,Onkaparinga
1462,Baw Baw
1463,Ku-ring-gai
1464,Cabonne
1465,Northern Beaches
1466,Murrumbidgee
1467,Greater Geelong
1468,Ipswich
1469,Brisbane
1470,Northern Grampians
1471,Derwent Valley
1472,Strathbogie
1473,Brisbane
1474,Tamworth
1475,Wagga Wagga
