crash_id,vehicle_type
20174039,heavy_rigid_truck
20175128,heavy_rigid_truck
20171287,heavy_rigid_truck
20171083,heavy_rigid_truck
20171347,heavy_rigid_truck
20171320,heavy_rigid_truck
20173157,heavy_rigid_truck
20171136,heavy_rigid_truck
20161340,heavy_rigid_truck
20165113,heavy_rigid_truck
20165117,heavy_rigid_truck
20161261,heavy_rigid_truck
20161053,heavy_rigid_truck
20161223,heavy_rigid_truck
20164016,heavy_rigid_truck
20161116,heavy_rigid_truck
20161209,heavy_rigid_truck
20165109,heavy_rigid_truck
20161181,heavy_rigid_truck
20161003,heavy_rigid_truck
20161215,heavy_rigid_truck
20161302,heavy_rigid_truck
20161291,heavy_rigid_truck
20164054,heavy_rigid_truck
20161033,heavy_rigid_truck
20165028,heavy_rigid_truck
20165099,heavy_rigid_truck
20161293,heavy_rigid_truck
20161265,heavy_rigid_truck
20161155,heavy_rigid_truck
20161310,heavy_rigid_truck
20164046,heavy_rigid_truck
20165063,heavy_rigid_truck
20161065,heavy_rigid_truck
20161133,heavy_rigid_truck
20161342,heavy_rigid_truck
20164068,heavy_rigid_truck
20161139,heavy_rigid_truck
20165021,heavy_rigid_truck
20161337,heavy_rigid_truck
20161348,heavy_rigid_truck
20161220,heavy_rigid_truck
20161345,heavy_rigid_truck
20161105,heavy_rigid_truck
20161158,heavy_rigid_truck
20161114,heavy_rigid_truck
20161121,heavy_rigid_truck
20161213,heavy_rigid_truck
20161249,heavy_rigid_truck
20166011,heavy_rigid_truck
20165118,heavy_rigid_truck
20152011,heavy_rigid_truck
20152139,heavy_rigid_truck
20152172,heavy_rigid_truck
20151197,heavy_rigid_truck
20151185,heavy_rigid_truck
20151066,heavy_rigid_truck
20156021,heavy_rigid_truck
20151172,heavy_rigid_truck
20151117,heavy_rigid_truck
20156026,heavy_rigid_truck
20152120,heavy_rigid_truck
20155015,heavy_rigid_truck
20152123,heavy_rigid_truck
20152138,heavy_rigid_truck
20152007,heavy_rigid_truck
20151003,heavy_rigid_truck
20151244,heavy_rigid_truck
20151269,heavy_rigid_truck
20151190,heavy_rigid_truck
20151171,heavy_rigid_truck
20156022,heavy_rigid_truck
20152145,heavy_rigid_truck
20155092,heavy_rigid_truck
20157001,heavy_rigid_truck
20152026,heavy_rigid_truck
20152227,heavy_rigid_truck
20151288,heavy_rigid_truck
20151035,heavy_rigid_truck
20151163,heavy_rigid_truck
20155133,heavy_rigid_truck
20155131,heavy_rigid_truck
20152197,heavy_rigid_truck
20154037,heavy_rigid_truck
20156029,heavy_rigid_truck
20151253,heavy_rigid_truck
20151169,heavy_rigid_truck
20151198,heavy_rigid_truck
20152085,heavy_rigid_truck
20155069,heavy_rigid_truck
20151076,heavy_rigid_truck
20155036,heavy_rigid_truck
20152132,heavy_rigid_truck
20151219,heavy_rigid_truck
20151210,heavy_rigid_truck
20152212,heavy_rigid_truck
20152195,heavy_rigid_truck
20155104,heavy_rigid_truck
20152207,heavy_rigid_truck
20151246,heavy_rigid_truck
20152047,heavy_rigid_truck
20151014,heavy_rigid_truck
20152205,heavy_rigid_truck
20151193,heavy_rigid_truck
20154004,heavy_rigid_truck
20155098,heavy_rigid_truck
20156004,heavy_rigid_truck
20144078,heavy_rigid_truck
20145158,heavy_rigid_truck
20144086,heavy_rigid_truck
20145094,heavy_rigid_truck
