crashID,age,gender,roadUser,ageGroup,personID
20192220,86,Female,Passenger,75_or_older,P6131
20192148,49,Female,Driver,40_to_64,P6132
20195002,62,Female,Driver,40_to_64,P6133
20192178,27,Female,Driver,26_to_39,P6134
20192097,34,Female,Driver,26_to_39,P6135
20193075,32,Male,Driver,26_to_39,P6136
20192202,84,Male,Driver,75_or_older,P6137
20195110,25,Female,Pedestrian,17_to_25,P6138
20195118,45,Male,Driver,40_to_64,P6139
20192007,26,Female,Driver,26_to_39,P6140
20191204,36,Male,Motorcycle rider,26_to_39,P6141
20195102,82,Male,Driver,75_or_older,P6142
20194057,25,Male,Driver,17_to_25,P6143
20195062,44,Male,Driver,40_to_64,P6144
20195085,41,Male,Driver,40_to_64,P6145
20192076,41,Male,Motorcycle rider,40_to_64,P6146
20192079,47,Female,Motorcycle rider,40_to_64,P6147
20195046,20,Male,Passenger,17_to_25,P6148
20195046,44,Male,Driver,40_to_64,P6149
20193086,55,Male,Driver,40_to_64,P6150
20198003,44,Male,Pedestrian,40_to_64,P6151
20192190,20,Male,Driver,17_to_25,P6152
20191153,46,Male,Driver,40_to_64,P6153
20192195,64,Male,Driver,40_to_64,P6154
20195010,39,Male,Passenger,26_to_39,P6155
20195146,69,Female,Motorcycle rider,65_to_74,P6156
20191251,28,Male,Driver,26_to_39,P6157
20193158,40,Male,Driver,40_to_64,P6158
20192009,61,Male,Driver,40_to_64,P6159
20192161,77,Female,Passenger,75_or_older,P6160
20194074,49,Male,Motorcycle rider,40_to_64,P6161
20191046,40,Male,Driver,40_to_64,P6162
20195078,75,Female,Passenger,75_or_older,P6163
20193191,18,Male,Driver,17_to_25,P6164
20191053,28,Male,Motorcycle rider,26_to_39,P6165
20191053,32,Male,Motorcycle pillion passenger,26_to_39,P6166
20191299,21,Male,Driver,17_to_25,P6167
20194009,19,Female,Passenger,17_to_25,P6168
20195014,18,Male,Driver,17_to_25,P6169
20193087,23,Male,Driver,17_to_25,P6170
20197007,38,Male,Pedestrian,26_to_39,P6171
20191265,43,Male,Driver,40_to_64,P6172
20191174,34,Male,Driver,26_to_39,P6173
20195075,86,Male,Driver,75_or_older,P6174
20195075,83,Female,Passenger,75_or_older,P6175
20191079,94,Male,Driver,75_or_older,P6176
20194093,18,Male,Motorcycle rider,17_to_25,P6177
20191074,3,Female,Passenger,0_to_16,P6178
20191069,63,Male,Driver,40_to_64,P6179
20192198,59,Male,Motorcycle rider,40_to_64,P6180
20191308,56,Male,Driver,40_to_64,P6181
20197009,12,Male,Passenger,0_to_16,P6182
20195011,26,Male,Driver,26_to_39,P6183
20193120,23,Male,Motorcycle rider,17_to_25,P6184
20193063,24,Male,Driver,17_to_25,P6185
20193054,59,Male,Driver,40_to_64,P6186
20191139,23,Male,Motorcycle pillion passenger,17_to_25,P6187
20191139,24,Male,Motorcycle rider,17_to_25,P6188
20192106,52,Male,Motorcycle rider,40_to_64,P6189
20191292,90,Female,Driver,75_or_older,P6190
20192241,65,Male,Motorcycle rider,65_to_74,P6191
20194109,74,Female,Passenger,65_to_74,P6192
20194095,71,Male,Pedestrian,65_to_74,P6193
20194035,19,Male,Motorcycle rider,17_to_25,P6194
20191038,55,Female,Passenger,40_to_64,P6195
20192179,84,Female,Passenger,75_or_older,P6196
20192132,1,Male,Pedestrian,0_to_16,P6197
20191295,41,Male,Passenger,40_to_64,P6198
20191295,34,Female,Driver,26_to_39,P6199
20195028,22,Male,Driver,17_to_25,P6200
20192168,20,Male,Motorcycle rider,17_to_25,P6201
20191129,43,Male,Driver,40_to_64,P6202
20193077,59,Male,Driver,40_to_64,P6203
20193128,33,Male,Motorcycle rider,26_to_39,P6204
20193128,29,Female,Motorcycle pillion passenger,26_to_39,P6205
20192136,20,Male,Pedestrian,17_to_25,P6206
20191054,46,Male,Driver,40_to_64,P6207
20194070,60,Male,Pedal cyclist,40_to_64,P6208
20195030,93,Male,Pedestrian,75_or_older,P6209
20192042,19,Female,Passenger,17_to_25,P6210
20197012,26,Male,Driver,26_to_39,P6211
20191065,72,Female,Passenger,65_to_74,P6212
20191065,38,Male,Passenger,26_to_39,P6213
20192145,55,Male,Passenger,40_to_64,P6214
20191003,29,Male,Driver,26_to_39,P6215
20197022,30,Female,Passenger,26_to_39,P6216
20192180,57,Male,Motorcycle rider,40_to_64,P6217
20194043,52,Female,Driver,40_to_64,P6218
20192025,38,Male,Driver,26_to_39,P6219
20191288,38,Male,Driver,26_to_39,P6220
20197004,29,Male,Passenger,26_to_39,P6221
20192057,51,Male,Motorcycle rider,40_to_64,P6222
20191055,24,Male,Passenger,17_to_25,P6223
20196007,30,Male,Pedestrian,26_to_39,P6224
20191177,45,Male,Driver,40_to_64,P6225
20194063,77,Female,Pedestrian,75_or_older,P6226
20193190,82,Male,Driver,75_or_older,P6227
20195113,24,Male,Motorcycle rider,17_to_25,P6228
20194075,32,Male,Driver,26_to_39,P6229
20191323,28,Male,Driver,26_to_39,P6230
20191190,27,Male,Motorcycle rider,26_to_39,P6231
20191036,45,Male,Driver,40_to_64,P6232
20191040,28,Male,Driver,26_to_39,P6233
20195071,52,Male,Driver,40_to_64,P6234
20192124,62,Male,Motorcycle rider,40_to_64,P6235
20191045,11,Male,Passenger,0_to_16,P6236
20195095,52,Female,Pedestrian,40_to_64,P6237
20195111,34,Male,Driver,26_to_39,P6238
20194036,72,Male,Pedestrian,65_to_74,P6239
20191259,79,Female,Driver,75_or_older,P6240
20191259,54,Male,Passenger,40_to_64,P6241
20191316,80,Male,Driver,75_or_older,P6242
20192081,78,Male,Driver,75_or_older,P6243
20194108,82,Female,Pedestrian,75_or_older,P6244
20194027,32,Female,Driver,26_to_39,P6245
20191044,63,Male,Driver,40_to_64,P6246
20193058,41,Male,Motorcycle rider,40_to_64,P6247
20191233,47,Female,Driver,40_to_64,P6248
20192141,16,Female,Passenger,0_to_16,P6249
20193062,44,Male,Passenger,40_to_64,P6250
20193062,42,Male,Driver,40_to_64,P6251
20193047,17,Male,Pedestrian,17_to_25,P6252
20191187,34,Male,Driver,26_to_39,P6253
20181309,24,Male,Driver,17_to_25,P6254
20184025,24,Male,Pedestrian,17_to_25,P6255
20183053,20,Male,Pedestrian,17_to_25,P6256
20181079,40,Male,Passenger,40_to_64,P6257
20184009,67,Male,Motorcycle rider,65_to_74,P6258
20183089,1,Male,Pedestrian,0_to_16,P6259
20181062,89,Female,Passenger,75_or_older,P6260
20181110,30,Male,Driver,26_to_39,P6261
20181038,67,Male,Driver,65_to_74,P6262
20181264,61,Male,Driver,40_to_64,P6263
20183091,47,Male,Passenger,40_to_64,P6264
20181203,22,Male,Driver,17_to_25,P6265
20185100,28,Male,Driver,26_to_39,P6266
20182022,29,Male,Pedestrian,26_to_39,P6267
20183039,38,Male,Pedestrian,26_to_39,P6268
20182113,21,Female,Passenger,17_to_25,P6269
20182017,20,Male,Pedestrian,17_to_25,P6270
20184050,49,Male,Driver,40_to_64,P6271
20183154,45,Male,Driver,40_to_64,P6272
20181166,19,Female,Driver,17_to_25,P6273
20187028,30,Male,Driver,26_to_39,P6274
20183059,33,Male,Motorcycle rider,26_to_39,P6275
20182094,52,Male,Driver,40_to_64,P6276
20183043,76,Male,Pedestrian,75_or_older,P6277
20183043,75,Female,Pedestrian,75_or_older,P6278
20182049,51,Female,Passenger,40_to_64,P6279
20183149,21,Male,Driver,17_to_25,P6280
20182155,43,Male,Pedal cyclist,40_to_64,P6281
20182073,32,Male,Pedestrian,26_to_39,P6282
20184027,21,Male,Pedestrian,17_to_25,P6283
20181276,32,Male,Driver,26_to_39,P6284
20181231,19,Female,Passenger,17_to_25,P6285
20185114,41,Male,Passenger,40_to_64,P6286
20181105,66,Male,Motorcycle rider,65_to_74,P6287
20183159,21,Male,Driver,17_to_25,P6288
20186030,69,Female,Driver,65_to_74,P6289
20181243,28,Male,Motorcycle rider,26_to_39,P6290
20182199,52,Male,Driver,40_to_64,P6291
20185134,29,Male,Pedestrian,26_to_39,P6292
20182159,27,Male,Driver,26_to_39,P6293
20182159,27,Male,Passenger,26_to_39,P6294
20183092,22,Male,Driver,17_to_25,P6295
20182071,20,Male,Driver,17_to_25,P6296
20181049,16,Male,Driver,0_to_16,P6297
20181049,18,Male,Passenger,17_to_25,P6298
20183141,56,Male,Driver,40_to_64,P6299
20183034,29,Male,Motorcycle rider,26_to_39,P6300
20184038,46,Male,Pedal cyclist,40_to_64,P6301
20181086,69,Male,Motorcycle rider,65_to_74,P6302
20182106,17,Male,Motorcycle rider,17_to_25,P6303
20183210,51,Male,Motorcycle rider,40_to_64,P6304
20183022,66,Male,Driver,65_to_74,P6305
20181232,54,Male,Motorcycle rider,40_to_64,P6306
20185139,66,Male,Driver,65_to_74,P6307
20181188,3,Male,Passenger,0_to_16,P6308
20185076,19,Male,Driver,17_to_25,P6309
20181114,45,Male,Driver,40_to_64,P6310
20183065,69,Female,Passenger,65_to_74,P6311
20187036,25,Female,Passenger,17_to_25,P6312
20185138,49,Female,Driver,40_to_64,P6313
20183224,18,Female,Driver,17_to_25,P6314
20184024,90,Male,Passenger,75_or_older,P6315
20184024,76,Female,Driver,75_or_older,P6316
20185097,85,Male,Driver,75_or_older,P6317
20181107,62,Male,Pedestrian,40_to_64,P6318
20186019,18,Female,Driver,17_to_25,P6319
20186019,18,Male,Passenger,17_to_25,P6320
20183025,53,Male,Motorcycle rider,40_to_64,P6321
20183140,7,Male,Passenger,0_to_16,P6322
20183140,62,Male,Driver,40_to_64,P6323
20184016,29,Male,Driver,26_to_39,P6324
20183116,52,Female,Pedestrian,40_to_64,P6325
20187003,29,Female,Passenger,26_to_39,P6326
20185132,17,Female,Driver,17_to_25,P6327
20186012,18,Male,Passenger,17_to_25,P6328
20181304,55,Female,Pedestrian,40_to_64,P6329
20183161,31,Male,Driver,26_to_39,P6330
20181226,17,Male,Driver,17_to_25,P6331
20182035,65,Male,Pedal cyclist,65_to_74,P6332
20181237,15,Male,Pedestrian,0_to_16,P6333
20185085,24,Male,Passenger,17_to_25,P6334
20182178,60,Male,Driver,40_to_64,P6335
20181269,44,Female,Pedestrian,40_to_64,P6336
20185036,24,Male,Pedestrian,17_to_25,P6337
20182081,89,Female,Pedestrian,75_or_older,P6338
20183087,82,Male,Driver,75_or_older,P6339
20181056,80,Female,Driver,75_or_older,P6340
20181170,50,Female,Driver,40_to_64,P6341
20181002,70,Female,Pedestrian,65_to_74,P6342
