crash_id,year,month,day_of_week,christmas_period,easter_period,weekday_or_weekend,date_id
20242201,2024,7,Monday,No,No,Weekday,2024-7-Monday
20241307,2024,7,Monday,No,No,Weekday,2024-7-Monday
20242074,2024,7,Monday,No,No,Weekday,2024-7-Monday
20241243,2024,7,Monday,No,No,Weekday,2024-7-Monday
20247034,2024,7,Monday,No,No,Weekday,2024-7-Monday
20241260,2024,7,Saturday,No,No,Weekend,2024-7-Saturday
20243004,2024,7,Saturday,No,No,Weekend,2024-7-Saturday
20246014,2024,7,Saturday,No,No,Weekend,2024-7-Saturday
20242024,2024,7,Saturday,No,No,Weekend,2024-7-Saturday
20243169,2024,7,Saturday,No,No,Weekend,2024-7-Saturday
20243081,2024,7,Saturday,No,No,Weekend,2024-7-Saturday
20242169,2024,7,Saturday,No,No,Weekend,2024-7-Saturday
20241110,2024,7,Saturday,No,No,Weekend,2024-7-Saturday
20241082,2024,7,Saturday,No,No,Weekend,2024-7-Saturday
20241159,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20246022,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20241229,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20242026,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20242268,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20242238,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20242122,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20241046,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20243192,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20241032,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20241031,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20243254,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20243133,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20241203,2024,7,Sunday,No,No,Weekend,2024-7-Sunday
20243118,2024,7,Thursday,No,No,Weekday,2024-7-Thursday
20243173,2024,7,Thursday,No,No,Weekday,2024-7-Thursday
20243199,2024,7,Thursday,No,No,Weekday,2024-7-Thursday
20244003,2024,7,Thursday,No,No,Weekday,2024-7-Thursday
20241298,2024,7,Thursday,No,No,Weekday,2024-7-Thursday
20242112,2024,7,Thursday,No,No,Weekday,2024-7-Thursday
