crash_id,person_id
20241110,20241110_Motorcycle rider_Male_49_40_to_64
20241082,20241082_Motorcycle rider_Male_17_17_to_25
20241159,20241159_Driver_Male_40_40_to_64
20246022,20246022_Passenger_Male_18_17_to_25
20241229,20241229_Driver_Male_16_0_to_16
20242026,20242026_Passenger_Male_19_17_to_25
20242268,20242268_Pedestrian_Male_53_40_to_64
20242238,20242238_Pedal cyclist_Male_63_40_to_64
20242122,20242122_Pedal cyclist_Female_56_40_to_64
20241046,20241046_Passenger_Male_20_17_to_25
20241046,20241046_Passenger_Female_18_17_to_25
20241046,20241046_Passenger_Female_20_17_to_25
20243192,20243192_Driver_Male_87_75_or_older
20241032,20241032_Driver_Female_55_40_to_64
20241032,20241032_Passenger_Male_54_40_to_64
20241031,20241031_Motorcycle rider_Male_16_0_to_16
20243254,20243254_Pedal cyclist_Male_63_40_to_64
20243133,20243133_Driver_Male_33_26_to_39
20241203,20241203_Driver_Male_67_65_to_74
20243118,20243118_Driver_Male_33_26_to_39
20243173,20243173_Pedal cyclist_Male_69_65_to_74
20243199,20243199_Driver_Male_56_40_to_64
20244003,20244003_Driver_Male_71_65_to_74
20241298,20241298_Driver_Male_67_65_to_74
20242112,20242112_Driver_Female_28_26_to_39
20242112,20242112_Passenger_Male_3_0_to_16
20243092,20243092_Driver_Male_59_40_to_64
20243042,20243042_Motorcycle rider_Male_37_26_to_39
20244005,20244005_Driver_Male_84_75_or_older
20243178,20243178_Motorcycle rider_Male_51_40_to_64
20244050,20244050_Driver_Female_85_75_or_older
20241208,20241208_Driver_Male_39_26_to_39
20242259,20242259_Driver_Male_67_65_to_74
20242212,20242212_Motorcycle rider_Male_19_17_to_25
20243019,20243019_Motorcycle rider_Male_26_26_to_39
20241036,20241036_Driver_Male_32_26_to_39
20242226,20242226_Pedestrian_Female_64_40_to_64
20247007,20247007_Driver_Male_73_65_to_74
20243074,20243074_Pedal cyclist_Male_11_0_to_16
20241003,20241003_Driver_Male_63_40_to_64
20241277,20241277_Motorcycle rider_Male_17_17_to_25
20241249,20241249_Pedestrian_Male_83_75_or_older
20242020,20242020_Motorcycle rider_Male_25_17_to_25
20242108,20242108_Driver_Male_28_26_to_39
20243120,20243120_Motorcycle rider_Male_57_40_to_64
20242187,20242187_Driver_Male_33_26_to_39
20243116,20243116_Passenger_Male_60_40_to_64
20243116,20243116_Driver_Male_67_65_to_74
20242133,20242133_Driver_Male_59_40_to_64
20241092,20241092_Passenger_Male_17_17_to_25
20242121,20242121_Driver_Male_29_26_to_39
20243214,20243214_Driver_Male_32_26_to_39
20241118,20241118_Driver_Female_72_65_to_74
20243157,20243157_Passenger_Male_19_17_to_25
20241190,20241190_Driver_Male_47_40_to_64
20241097,20241097_Passenger_Male_82_75_or_older
20242265,20242265_Passenger_Female_17_17_to_25
20242265,20242265_Driver_Male_18_17_to_25
20241250,20241250_Driver_Male_80_75_or_older
20242200,20242200_Driver_Male_18_17_to_25
20242234,20242234_Driver_Male_18_17_to_25
20242048,20242048_Motorcycle rider_Female_26_26_to_39
20242003,20242003_Driver_Male_73_65_to_74
20243252,20243252_Driver_Female_33_26_to_39
20243252,20243252_Passenger_Male_0_0_to_16
20243061,20243061_Driver_Male_18_17_to_25
20242162,20242162_Motorcycle rider_Male_20_17_to_25
20244071,20244071_Driver_Male_58_40_to_64
20241047,20241047_Pedestrian_Male_61_40_to_64
20241205,20241205_Pedestrian_Male_80_75_or_older
20241024,20241024_Motorcycle rider_Male_22_17_to_25
20242096,20242096_Pedestrian_Male_30_26_to_39
20242240,20242240_Pedestrian_Female_29_26_to_39
20243139,20243139_Pedestrian_Male_44_40_to_64
20243075,20243075_Passenger_Female_24_17_to_25
20244051,20244051_Driver_Female_85_75_or_older
20241070,20241070_Driver_Male_47_40_to_64
20244079,20244079_Driver_Male_84_75_or_older
20243051,20243051_Passenger_Female_15_0_to_16
20243051,20243051_Driver_Male_54_40_to_64
20243051,20243051_Passenger_Male_8_0_to_16
20242237,20242237_Pedestrian_Female_81_75_or_older
20243148,20243148_Motorcycle rider_Male_36_26_to_39
20242157,20242157_Pedestrian_Male_83_75_or_older
20244022,20244022_Passenger_Male_63_40_to_64
20241142,20241142_Driver_Male_85_75_or_older
20241124,20241124_Driver_Male_46_40_to_64
20241010,20241010_Driver_Male_19_17_to_25
20241252,20241252_Driver_Female_76_75_or_older
20243155,20243155_Driver_Male_44_40_to_64
20243163,20243163_Motorcycle rider_Male_55_40_to_64
20243269,20243269_Driver_Male_73_65_to_74
20243056,20243056_Motorcycle rider_Male_57_40_to_64
20243049,20243049_Passenger_Male_49_40_to_64
20243103,20243103_Pedal cyclist_Male_57_40_to_64
20242233,20242233_Motorcycle rider_Male_29_26_to_39
20243014,20243014_Driver_Male_72_65_to_74
20241198,20241198_Driver_Male_64_40_to_64
20242249,20242249_Pedestrian_Male_81_75_or_older
20243154,20243154_Passenger_Female_33_26_to_39
20243154,20243154_Passenger_Female_56_40_to_64
20243154,20243154_Passenger_Female_21_17_to_25
20241100,20241100_Motorcycle rider_Male_35_26_to_39
20241074,20241074_Motorcycle rider_Male_63_40_to_64
