crashID,dayType,timeOfDay
20233258,Weekend,Day
20236009,Weekend,Day
20232237,Weekend,Day
20232188,Weekend,Night
20233165,Weekend,Night
20231098,Weekend,Night
20234029,Weekend,Night
20231102,Weekend,Night
20231198,Weekend,Night
20231129,Weekend,Night
20231231,Weekend,Night
20233120,Weekend,Day
20232196,Weekend,Day
20234053,Weekend,Day
20232240,Weekend,Day
20231095,Weekend,Day
20232119,Weekend,Day
20232243,Weekend,Day
20234042,Weekend,Day
20232067,Weekend,Night
20234079,Weekend,Night
20231023,Weekend,Night
20233221,Weekend,Night
20233081,Weekday,Night
20231076,Weekday,Day
20232045,Weekday,Day
20236006,Weekday,Day
20234061,Weekday,Day
20232201,Weekday,Day
20236025,Weekday,Day
20233189,Weekday,Day
20233111,Weekday,Day
20232097,Weekday,Day
20233036,Weekday,Day
20231250,Weekday,Day
20233228,Weekday,Night
20234084,Weekday,Night
20232009,Weekday,Day
20231145,Weekday,Day
20231056,Weekday,Day
20232115,Weekday,Day
20233012,Weekday,Day
20232018,Weekday,Day
20233200,Weekday,Night
20233110,Weekday,Night
20233154,Weekday,Night
20231223,Weekday,Day
20234067,Weekday,Day
20231182,Weekday,Day
20238004,Weekday,Day
20231173,Weekday,Day
20233155,Weekday,Day
20233161,Weekday,Night
20234020,Weekday,Night
20231052,Weekday,Night
20231296,Weekday,Night
20231143,Weekday,Day
20234021,Weekday,Day
20231302,Weekday,Day
20231285,Weekday,Day
20231178,Weekday,Day
20234031,Weekend,Night
20237013,Weekend,Night
20233136,Weekday,Day
20233051,Weekday,Day
20231229,Weekday,Day
20233176,Weekday,Day
20234068,Weekday,Day
20231044,Weekday,Day
20231190,Weekday,Day
20236012,Weekday,Day
20233205,Weekday,Day
20233074,Weekday,Night
20233050,Weekend,Night
20231045,Weekend,Night
20231205,Weekend,Day
20234025,Weekend,Day
20231119,Weekend,Day
20231272,Weekend,Day
20233139,Weekend,Day
20233043,Weekend,Night
20231256,Weekend,Night
20234018,Weekend,Day
20231278,Weekend,Day
20233008,Weekend,Day
20234063,Weekend,Day
20233069,Weekend,Night
20234017,Weekend,Night
20231029,Weekday,Day
20231111,Weekday,Day
20234034,Weekday,Day
20231160,Weekday,Day
20233224,Weekday,Day
20231139,Weekday,Night
20231303,Weekday,Night
20231283,Weekday,Night
20231141,Weekday,Night
20231206,Weekday,Night
20233017,Weekday,Night
20231175,Weekday,Day
20233073,Weekday,Day
20233114,Weekday,Day
20231064,Weekday,Night
20233032,Weekday,Day
20233063,Weekday,Day
20231271,Weekday,Day
20234094,Weekday,Day
20231152,Weekday,Day
20231068,Weekday,Day
20233020,Weekday,Day
20233134,Weekday,Day
20233198,Weekday,Day
20231252,Weekday,Day
20231227,Weekday,Night
20231292,Weekday,Day
20232065,Weekday,Day
20232171,Weekday,Day
20232063,Weekday,Day
20232074,Weekday,Day
20231288,Weekend,Night
20232170,Weekend,Night
20231133,Weekend,Night
20231249,Weekend,Night
20231171,Weekday,Day
20233196,Weekday,Day
20233245,Weekday,Day
20231025,Weekday,Day
20231244,Weekday,Day
20232118,Weekday,Day
20231128,Weekday,Night
20232048,Weekday,Night
20236004,Weekday,Night
20232204,Weekday,Night
20231251,Weekday,Night
20231263,Weekend,Night
20231078,Weekend,Night
20233251,Weekend,Night
20234077,Weekend,Night
20236003,Weekend,Night
20233246,Weekend,Day
20232248,Weekend,Day
20237008,Weekend,Day
20232026,Weekend,Night
20233170,Weekend,Night
20233210,Weekend,Night
20233076,Weekend,Night
20233131,Weekend,Day
20233133,Weekend,Day
20232124,Weekend,Day
20232136,Weekend,Day
20233183,Weekend,Day
20232022,Weekend,Day
20231168,Weekend,Day
20232217,Weekend,Day
20236016,Weekday,Night
20231220,Weekday,Day
20233195,Weekday,Day
20231301,Weekday,Day
20233167,Weekday,Day
20233021,Weekday,Day
20231106,Weekday,Day
20231149,Weekday,Night
20231226,Weekday,Night
20236022,Weekday,Night
20232084,Weekday,Night
20232172,Weekday,Night
20237023,Weekday,Night
20232154,Weekday,Day
20234026,Weekday,Day
20232103,Weekday,Day
20232163,Weekday,Day
20231163,Weekday,Day
20231262,Weekday,Day
20231059,Weekday,Day
20236011,Weekday,Day
20234095,Weekday,Day
20232205,Weekday,Night
20234059,Weekday,Night
20234066,Weekday,Day
20232223,Weekday,Day
20231010,Weekday,Day
20231274,Weekday,Day
20231188,Weekday,Day
