state,sa4Name,lgaName,nationalRemoteness,nationalRoadType,locationID
WA,Perth - South East,Armadale,Major Cities of Australia,Local Road,WA_Armadale_Perth___South_East
QLD,Brisbane - West,Brisbane,Inner Regional Australia,Sub-arterial Road,QLD_Brisbane_Brisbane___West
VIC,Melbourne - Inner,Darebin,Major Cities of Australia,Sub-arterial Road,VIC_Darebin_Melbourne___Inner
WA,Western Australia - Wheat Belt,Corrigin,Remote Australia,National or State Highway,WA_Corrigin_Western_Australia___Wheat_Belt
NSW,Newcastle and Lake Macquarie,Lake Macquarie,Inner Regional Australia,Sub-arterial Road,NSW_Lake_Macquarie_Newcastle_and_Lake_Macquarie
SA,South Australia - Outback,Anangu Pitjantjatjara Yankunytjatjara,Very Remote Australia,Local Road,SA_Anangu_Pitjantjatjara_Yankunytjatjara_South_Australia___Outback
VIC,North West,Northern Grampians,Inner Regional Australia,Local Road,VIC_Northern_Grampians_North_West
NSW,Riverina,Temora,Outer Regional Australia,Arterial Road,NSW_Temora_Riverina
SA,South Australia - Outback,Elliston,Very Remote Australia,Arterial Road,SA_Elliston_South_Australia___Outback
WA,Perth - South West,Fremantle,Major Cities of Australia,Local Road,WA_Fremantle_Perth___South_West
WA,Western Australia - Wheat Belt,Toodyay,Inner Regional Australia,Arterial Road,WA_Toodyay_Western_Australia___Wheat_Belt
NSW,Central West,Parkes,Outer Regional Australia,Sub-arterial Road,NSW_Parkes_Central_West
SA,South Australia - Outback,Streaky Bay,Very Remote Australia,Sub-arterial Road,SA_Streaky_Bay_South_Australia___Outback
SA,Barossa - Yorke - Mid North,Goyder,Inner Regional Australia,Sub-arterial Road,SA_Goyder_Barossa___Yorke___Mid_North
NSW,Hunter Valley exc Newcastle,Singleton,Inner Regional Australia,Arterial Road,NSW_Singleton_Hunter_Valley_exc_Newcastle
NSW,Hunter Valley exc Newcastle,Port Stephens,Major Cities of Australia,Arterial Road,NSW_Port_Stephens_Hunter_Valley_exc_Newcastle
NSW,Riverina,Federation,Outer Regional Australia,Sub-arterial Road,NSW_Federation_Riverina
SA,Adelaide - South,Holdfast Bay,Major Cities of Australia,Collector Road,SA_Holdfast_Bay_Adelaide___South
VIC,Warrnambool and South West,Southern Grampians,Inner Regional Australia,Local Road,VIC_Southern_Grampians_Warrnambool_and_South_West
WA,Western Australia - Wheat Belt,Victoria Plains,Outer Regional Australia,Arterial Road,WA_Victoria_Plains_Western_Australia___Wheat_Belt
QLD,Ipswich,Somerset,Inner Regional Australia,Collector Road,QLD_Somerset_Ipswich
NSW,Central West,Cabonne,Inner Regional Australia,Sub-arterial Road,NSW_Cabonne_Central_West
WA,Western Australia - Outback (South),Northampton,Remote Australia,Arterial Road,WA_Northampton_Western_Australia___Outback_(South)
WA,Perth - South West,Melville,Major Cities of Australia,National or State Highway,WA_Melville_Perth___South_West
NSW,Capital Region,Yass Valley,Major Cities of Australia,Sub-arterial Road,NSW_Yass_Valley_Capital_Region
NSW,Central West,Lachlan,Remote Australia,Local Road,NSW_Lachlan_Central_West
WA,Bunbury,Bridgetown-Greenbushes,Outer Regional Australia,National or State Highway,WA_Bridgetown_Greenbushes_Bunbury
WA,Bunbury,Harvey,Inner Regional Australia,Arterial Road,WA_Harvey_Bunbury
SA,South Australia - Outback,Lower Eyre Peninsula,Remote Australia,Arterial Road,SA_Lower_Eyre_Peninsula_South_Australia___Outback
QLD,Queensland - Outback,Longreach,Very Remote Australia,Local Road,QLD_Longreach_Queensland___Outback
VIC,Bendigo,Mount Alexander,Inner Regional Australia,Sub-arterial Road,VIC_Mount_Alexander_Bendigo
SA,South Australia - South East,Kangaroo Island,Remote Australia,Access road,SA_Kangaroo_Island_South_Australia___South_East
QLD,Darling Downs - Maranoa,Southern Downs,Outer Regional Australia,Sub-arterial Road,QLD_Southern_Downs_Darling_Downs___Maranoa
NSW,Hunter Valley exc Newcastle,Singleton,Outer Regional Australia,National or State Highway,NSW_Singleton_Hunter_Valley_exc_Newcastle
NSW,Sydney - City and Inner South,Bayside (NSW),Major Cities of Australia,National or State Highway,NSW_Bayside_(NSW)_Sydney___City_and_Inner_South
VIC,Warrnambool and South West,Moyne,Outer Regional Australia,Arterial Road,VIC_Moyne_Warrnambool_and_South_West
NSW,Riverina,Temora,Outer Regional Australia,Local Road,NSW_Temora_Riverina
SA,South Australia - Outback,Kimba,Remote Australia,National or State Highway,SA_Kimba_South_Australia___Outback
QLD,Mackay - Isaac - Whitsunday,Isaac,Outer Regional Australia,Local Road,QLD_Isaac_Mackay___Isaac___Whitsunday
VIC,Shepparton,Moira,Inner Regional Australia,Local Road,VIC_Moira_Shepparton
NSW,Sydney - North Sydney and Hornsby,Ku-ring-gai,Major Cities of Australia,Local Road,NSW_Ku_ring_gai_Sydney___North_Sydney_and_Hornsby
WA,Perth - South East,Victoria Park,Major Cities of Australia,Arterial Road,WA_Victoria_Park_Perth___South_East
VIC,Ballarat,Central Goldfields,Inner Regional Australia,National or State Highway,VIC_Central_Goldfields_Ballarat
QLD,Brisbane - East,Brisbane,Major Cities of Australia,National or State Highway,QLD_Brisbane_Brisbane___East
VIC,Latrobe - Gippsland,South Gippsland,Inner Regional Australia,Arterial Road,VIC_South_Gippsland_Latrobe___Gippsland
NSW,Sydney - Outer South West,Wollondilly,Major Cities of Australia,National or State Highway,NSW_Wollondilly_Sydney___Outer_South_West
VIC,Ballarat,Central Goldfields,Inner Regional Australia,Local Road,VIC_Central_Goldfields_Ballarat
VIC,Ballarat,Hepburn,Inner Regional Australia,Access road,VIC_Hepburn_Ballarat
WA,Western Australia - Wheat Belt,Katanning,Outer Regional Australia,Arterial Road,WA_Katanning_Western_Australia___Wheat_Belt
NT,Northern Territory - Outback,Roper Gulf,Very Remote Australia,Local Road,NT_Roper_Gulf_Northern_Territory___Outback
WA,Western Australia - Wheat Belt,Jerramungup,Remote Australia,Arterial Road,WA_Jerramungup_Western_Australia___Wheat_Belt
VIC,Melbourne - South East,Kingston (Vic.),Major Cities of Australia,Collector Road,VIC_Kingston_(Vic.)_Melbourne___South_East
NSW,Central West,Warrumbungle,Outer Regional Australia,Sub-arterial Road,NSW_Warrumbungle_Central_West
SA,South Australia - South East,Southern Mallee,Remote Australia,Arterial Road,SA_Southern_Mallee_South_Australia___South_East
WA,Western Australia - Outback (South),Carnamah,Remote Australia,Arterial Road,WA_Carnamah_Western_Australia___Outback_(South)
TAS,South East,Derwent Valley,Outer Regional Australia,Local Road,TAS_Derwent_Valley_South_East
VIC,Ballarat,Hepburn,Inner Regional Australia,Sub-arterial Road,VIC_Hepburn_Ballarat
SA,Barossa - Yorke - Mid North,Clare and Gilbert Valleys,Outer Regional Australia,Arterial Road,SA_Clare_and_Gilbert_Valleys_Barossa___Yorke___Mid_North
TAS,South East,Kingborough,Outer Regional Australia,Local Road,TAS_Kingborough_South_East
NSW,Mid North Coast,Nambucca Valley,Inner Regional Australia,Arterial Road,NSW_Nambucca_Valley_Mid_North_Coast
WA,Western Australia - Outback (North),Ashburton,Very Remote Australia,Arterial Road,WA_Ashburton_Western_Australia___Outback_(North)
NSW,Central West,Bathurst,Inner Regional Australia,Arterial Road,NSW_Bathurst_Central_West
WA,Western Australia - Outback (North),Karratha,Remote Australia,Arterial Road,WA_Karratha_Western_Australia___Outback_(North)
SA,South Australia - Outback,Ceduna,Very Remote Australia,National or State Highway,SA_Ceduna_South_Australia___Outback
WA,Western Australia - Wheat Belt,West Arthur,Outer Regional Australia,Arterial Road,WA_West_Arthur_Western_Australia___Wheat_Belt
NT,Northern Territory - Outback,Alice Springs,Remote Australia,Collector Road,NT_Alice_Springs_Northern_Territory___Outback
SA,Adelaide - North,Playford,Major Cities of Australia,Arterial Road,SA_Playford_Adelaide___North
NSW,Mid North Coast,Nambucca Valley,Inner Regional Australia,Local Road,NSW_Nambucca_Valley_Mid_North_Coast
WA,Western Australia - Outback (North),Wyndham-East Kimberley,Very Remote Australia,Local Road,WA_Wyndham_East_Kimberley_Western_Australia___Outback_(North)
WA,Perth - Inner,Cambridge,Major Cities of Australia,Arterial Road,WA_Cambridge_Perth___Inner
NSW,Riverina,Cootamundra-Gundagai,Inner Regional Australia,National or State Highway,NSW_Cootamundra_Gundagai_Riverina
SA,Adelaide - South,Onkaparinga,Inner Regional Australia,Sub-arterial Road,SA_Onkaparinga_Adelaide___South
VIC,Melbourne - West,Moorabool,Major Cities of Australia,Local Road,VIC_Moorabool_Melbourne___West
SA,South Australia - South East,Mount Gambier,Outer Regional Australia,Collector Road,SA_Mount_Gambier_South_Australia___South_East
SA,Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia,Access road,SA_Adelaide_Hills_Adelaide___Central_and_Hills
WA,Perth - South East,Gosnells,Major Cities of Australia,Local Road,WA_Gosnells_Perth___South_East
VIC,Hume,Towong,Inner Regional Australia,Arterial Road,VIC_Towong_Hume
QLD,Wide Bay,Bundaberg,Outer Regional Australia,Local Road,QLD_Bundaberg_Wide_Bay
VIC,Geelong,Greater Geelong,Inner Regional Australia,Arterial Road,VIC_Greater_Geelong_Geelong
VIC,North West,Horsham,Outer Regional Australia,Sub-arterial Road,VIC_Horsham_North_West
WA,Perth - North East,Swan,Inner Regional Australia,National or State Highway,WA_Swan_Perth___North_East
QLD,Central Queensland,Livingstone,Remote Australia,Sub-arterial Road,QLD_Livingstone_Central_Queensland
NSW,Sydney - South West,Camden,Major Cities of Australia,Sub-arterial Road,NSW_Camden_Sydney___South_West
NSW,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,Access road,NSW_Shoalhaven_Southern_Highlands_and_Shoalhaven
WA,Western Australia - Outback (North),Ashburton,Very Remote Australia,National or State Highway,WA_Ashburton_Western_Australia___Outback_(North)
NSW,Sydney - Eastern Suburbs,Randwick,Major Cities of Australia,Access road,NSW_Randwick_Sydney___Eastern_Suburbs
WA,Perth - South East,South Perth,Major Cities of Australia,National or State Highway,WA_South_Perth_Perth___South_East
NT,Northern Territory - Outback,Victoria Daly,Very Remote Australia,Access road,NT_Victoria_Daly_Northern_Territory___Outback
WA,Western Australia - Wheat Belt,Denmark,Outer Regional Australia,National or State Highway,WA_Denmark_Western_Australia___Wheat_Belt
WA,Western Australia - Wheat Belt,Brookton,Outer Regional Australia,National or State Highway,WA_Brookton_Western_Australia___Wheat_Belt
QLD,Queensland - Outback,Burke,Very Remote Australia,Sub-arterial Road,QLD_Burke_Queensland___Outback
NSW,Capital Region,Queanbeyan-Palerang,Inner Regional Australia,Sub-arterial Road,NSW_Queanbeyan_Palerang_Capital_Region
ACT,Australian Capital Territory,Unincorporated ACT,Inner Regional Australia,National or State Highway,ACT_Unincorporated_ACT_Australian_Capital_Territory
QLD,Townsville,Hinchinbrook,Outer Regional Australia,National or State Highway,QLD_Hinchinbrook_Townsville
NSW,Sydney - Inner West,Canada Bay,Major Cities of Australia,Local Road,NSW_Canada_Bay_Sydney___Inner_West
NSW,Sydney - Inner West,Strathfield,Major Cities of Australia,Collector Road,NSW_Strathfield_Sydney___Inner_West
NSW,Far West and Orana,Central Darling,Very Remote Australia,National or State Highway,NSW_Central_Darling_Far_West_and_Orana
VIC,Melbourne - Inner,Melbourne,Major Cities of Australia,Pedestrian Thoroughfare,VIC_Melbourne_Melbourne___Inner
SA,South Australia - Outback,Streaky Bay,Very Remote Australia,National or State Highway,SA_Streaky_Bay_South_Australia___Outback
WA,Western Australia - Outback (North),Port Hedland,Very Remote Australia,Local Road,WA_Port_Hedland_Western_Australia___Outback_(North)
VIC,Melbourne - Inner,Darebin,Major Cities of Australia,Arterial Road,VIC_Darebin_Melbourne___Inner
QLD,Queensland - Outback,Longreach,Very Remote Australia,Sub-arterial Road,QLD_Longreach_Queensland___Outback
VIC,Bendigo,Mount Alexander,Inner Regional Australia,Local Road,VIC_Mount_Alexander_Bendigo
VIC,Melbourne - Outer East,Whitehorse,Major Cities of Australia,Local Road,VIC_Whitehorse_Melbourne___Outer_East
NSW,Central West,Mid-Western,Outer Regional Australia,Local Road,NSW_Mid_Western_Central_West
QLD,Queensland - Outback,Northern Peninsula Area,Very Remote Australia,Collector Road,QLD_Northern_Peninsula_Area_Queensland___Outback
WA,Perth - Inner,Nedlands,Major Cities of Australia,Local Road,WA_Nedlands_Perth___Inner
NSW,Far West and Orana,Brewarrina,Very Remote Australia,Access road,NSW_Brewarrina_Far_West_and_Orana
WA,Perth - North West,Stirling,Major Cities of Australia,Arterial Road,WA_Stirling_Perth___North_West
SA,South Australia - South East,Mid Murray,Inner Regional Australia,National or State Highway,SA_Mid_Murray_South_Australia___South_East
NSW,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Access road,NSW_Wingecarribee_Southern_Highlands_and_Shoalhaven
NT,Northern Territory - Outback,Coomalie ,Remote Australia,Local Road,NT_Coomalie__Northern_Territory___Outback
WA,Western Australia - Wheat Belt,Gingin,Outer Regional Australia,Arterial Road,WA_Gingin_Western_Australia___Wheat_Belt
WA,Perth - Inner,Stirling,Major Cities of Australia,Arterial Road,WA_Stirling_Perth___Inner
NSW,Central Coast,Central Coast (NSW),Inner Regional Australia,Sub-arterial Road,NSW_Central_Coast_(NSW)_Central_Coast
SA,South Australia - Outback,Franklin Harbour,Remote Australia,Arterial Road,SA_Franklin_Harbour_South_Australia___Outback
NSW,Sydney - Northern Beaches,Northern Beaches,Inner Regional Australia,Collector Road,NSW_Northern_Beaches_Sydney___Northern_Beaches
SA,South Australia - South East,Coorong,Inner Regional Australia,Local Road,SA_Coorong_South_Australia___South_East
NSW,Sydney - North Sydney and Hornsby,Lane Cove,Major Cities of Australia,Arterial Road,NSW_Lane_Cove_Sydney___North_Sydney_and_Hornsby
NT,Northern Territory - Outback,Central Desert,Very Remote Australia,Arterial Road,NT_Central_Desert_Northern_Territory___Outback
WA,Bunbury,Waroona,Inner Regional Australia,National or State Highway,WA_Waroona_Bunbury
NT,Darwin,Palmerston,Outer Regional Australia,Local Road,NT_Palmerston_Darwin
NSW,Sydney - Eastern Suburbs,Waverley,Major Cities of Australia,Arterial Road,NSW_Waverley_Sydney___Eastern_Suburbs
SA,South Australia - South East,Naracoorte Lucindale,Outer Regional Australia,Local Road,SA_Naracoorte_Lucindale_South_Australia___South_East
WA,Western Australia - Wheat Belt,Cunderdin,Outer Regional Australia,National or State Highway,WA_Cunderdin_Western_Australia___Wheat_Belt
SA,Adelaide - South,Marion,Major Cities of Australia,Local Road,SA_Marion_Adelaide___South
NSW,Riverina,Cootamundra-Gundagai,Outer Regional Australia,Arterial Road,NSW_Cootamundra_Gundagai_Riverina
NSW,Murray,Berrigan,Inner Regional Australia,Arterial Road,NSW_Berrigan_Murray
WA,Perth - Inner,Perth,Major Cities of Australia,Local Road,WA_Perth_Perth___Inner
SA,Barossa - Yorke - Mid North,Barunga West,Outer Regional Australia,Arterial Road,SA_Barunga_West_Barossa___Yorke___Mid_North
WA,Western Australia - Outback (South),Greater Geraldton,Remote Australia,National or State Highway,WA_Greater_Geraldton_Western_Australia___Outback_(South)
VIC,North West,Horsham,Outer Regional Australia,Collector Road,VIC_Horsham_North_West
WA,Western Australia - Wheat Belt,Lake Grace,Remote Australia,Arterial Road,WA_Lake_Grace_Western_Australia___Wheat_Belt
WA,Perth - North East,Bayswater,Major Cities of Australia,Arterial Road,WA_Bayswater_Perth___North_East
NSW,Richmond - Tweed,Kyogle,Inner Regional Australia,National or State Highway,NSW_Kyogle_Richmond___Tweed
VIC,Hume,Alpine,Inner Regional Australia,Arterial Road,VIC_Alpine_Hume
VIC,Hume,Murrindindi,Inner Regional Australia,Local Road,VIC_Murrindindi_Hume
NSW,Richmond - Tweed,Byron,Inner Regional Australia,Local Road,NSW_Byron_Richmond___Tweed
VIC,Bendigo,Loddon,Outer Regional Australia,National or State Highway,VIC_Loddon_Bendigo
WA,Western Australia - Wheat Belt,Broomehill-Tambellup,Outer Regional Australia,Local Road,WA_Broomehill_Tambellup_Western_Australia___Wheat_Belt
QLD,Darling Downs - Maranoa,Western Downs,Outer Regional Australia,Collector Road,QLD_Western_Downs_Darling_Downs___Maranoa
TAS,West and North West,Latrobe (Tas.),Outer Regional Australia,Arterial Road,TAS_Latrobe_(Tas.)_West_and_North_West
WA,Perth - North East,Mundaring,Inner Regional Australia,National or State Highway,WA_Mundaring_Perth___North_East
WA,Perth - North East,Mundaring,Major Cities of Australia,National or State Highway,WA_Mundaring_Perth___North_East
NSW,Central West,Blayney,Outer Regional Australia,National or State Highway,NSW_Blayney_Central_West
SA,South Australia - Outback,Tumby Bay,Remote Australia,Sub-arterial Road,SA_Tumby_Bay_South_Australia___Outback
WA,Western Australia - Wheat Belt,Jerramungup,Remote Australia,National or State Highway,WA_Jerramungup_Western_Australia___Wheat_Belt
SA,South Australia - South East,Tatiara,Outer Regional Australia,Sub-arterial Road,SA_Tatiara_South_Australia___South_East
WA,Western Australia - Outback (North),Halls Creek,Very Remote Australia,Arterial Road,WA_Halls_Creek_Western_Australia___Outback_(North)
QLD,Gold Coast,Scenic Rim,Inner Regional Australia,Collector Road,QLD_Scenic_Rim_Gold_Coast
SA,South Australia - South East,Mount Gambier,Outer Regional Australia,Local Road,SA_Mount_Gambier_South_Australia___South_East
NSW,Illawarra,Kiama,Major Cities of Australia,Local Road,NSW_Kiama_Illawarra
WA,Perth - South East,Victoria Park,Major Cities of Australia,Local Road,WA_Victoria_Park_Perth___South_East
QLD,Darling Downs - Maranoa,Western Downs,Remote Australia,Sub-arterial Road,QLD_Western_Downs_Darling_Downs___Maranoa
NSW,Central West,Oberon,Inner Regional Australia,Arterial Road,NSW_Oberon_Central_West
NSW,Sydney - Ryde,Ryde,Major Cities of Australia,Collector Road,NSW_Ryde_Sydney___Ryde
WA,Perth - South East,Kalamunda,Major Cities of Australia,National or State Highway,WA_Kalamunda_Perth___South_East
VIC,Melbourne - North East,Mitchell,Major Cities of Australia,Collector Road,VIC_Mitchell_Melbourne___North_East
VIC,Melbourne - Inner,Yarra,Major Cities of Australia,Collector Road,VIC_Yarra_Melbourne___Inner
TAS,Launceston and North East,West Tamar,Outer Regional Australia,Arterial Road,TAS_West_Tamar_Launceston_and_North_East
WA,Perth - Inner,Vincent,Major Cities of Australia,Local Road,WA_Vincent_Perth___Inner
WA,Western Australia - Wheat Belt,Cranbrook,Outer Regional Australia,National or State Highway,WA_Cranbrook_Western_Australia___Wheat_Belt
TAS,South East,Huon Valley,Outer Regional Australia,Local Road,TAS_Huon_Valley_South_East
NSW,Sydney - Inner West,Canada Bay,Major Cities of Australia,Arterial Road,NSW_Canada_Bay_Sydney___Inner_West
NSW,Central West,Cabonne,Inner Regional Australia,National or State Highway,NSW_Cabonne_Central_West
WA,Western Australia - Wheat Belt,Yilgarn,Remote Australia,Arterial Road,WA_Yilgarn_Western_Australia___Wheat_Belt
QLD,Central Queensland,Livingstone,Outer Regional Australia,Local Road,QLD_Livingstone_Central_Queensland
NSW,Sydney - North Sydney and Hornsby,Willoughby,Major Cities of Australia,National or State Highway,NSW_Willoughby_Sydney___North_Sydney_and_Hornsby
TAS,Launceston and North East,Break O'Day,Remote Australia,National or State Highway,TAS_Break_O'Day_Launceston_and_North_East
QLD,Ipswich,Ipswich,Inner Regional Australia,Local Road,QLD_Ipswich_Ipswich
NT,Northern Territory - Outback,Victoria Daly,Remote Australia,National or State Highway,NT_Victoria_Daly_Northern_Territory___Outback
VIC,North West,Northern Grampians,Outer Regional Australia,National or State Highway,VIC_Northern_Grampians_North_West
QLD,Cairns,Cassowary Coast,Remote Australia,Local Road,QLD_Cassowary_Coast_Cairns
NSW,Far West and Orana,Brewarrina,Very Remote Australia,Sub-arterial Road,NSW_Brewarrina_Far_West_and_Orana
NSW,Coffs Harbour - Grafton,Clarence Valley,Outer Regional Australia,Local Road,NSW_Clarence_Valley_Coffs_Harbour___Grafton
WA,Mandurah,Mandurah,Major Cities of Australia,Arterial Road,WA_Mandurah_Mandurah
NSW,Central West,Lachlan,Remote Australia,Sub-arterial Road,NSW_Lachlan_Central_West
VIC,Melbourne - Outer East,Maroondah,Major Cities of Australia,Collector Road,VIC_Maroondah_Melbourne___Outer_East
NSW,Murray,Murrumbidgee,Outer Regional Australia,Arterial Road,NSW_Murrumbidgee_Murray
WA,Western Australia - Wheat Belt,Albany,Outer Regional Australia,Arterial Road,WA_Albany_Western_Australia___Wheat_Belt
VIC,Shepparton,Moira,Outer Regional Australia,Local Road,VIC_Moira_Shepparton
NSW,New England and North West,Tamworth,Inner Regional Australia,Sub-arterial Road,NSW_Tamworth_New_England_and_North_West
SA,South Australia - South East,Berri Barmera,Outer Regional Australia,National or State Highway,SA_Berri_Barmera_South_Australia___South_East
NSW,New England and North West,Moree Plains,Remote Australia,National or State Highway,NSW_Moree_Plains_New_England_and_North_West
VIC,Melbourne - Inner,Stonnington,Major Cities of Australia,Local Road,VIC_Stonnington_Melbourne___Inner
NSW,Sydney - Eastern Suburbs,Sydney,Major Cities of Australia,Arterial Road,NSW_Sydney_Sydney___Eastern_Suburbs
NSW,Capital Region,Queanbeyan-Palerang,Major Cities of Australia,National or State Highway,NSW_Queanbeyan_Palerang_Capital_Region
VIC,Warrnambool and South West,Glenelg,Outer Regional Australia,Local Road,VIC_Glenelg_Warrnambool_and_South_West
NSW,Hunter Valley exc Newcastle,Maitland,Inner Regional Australia,Sub-arterial Road,NSW_Maitland_Hunter_Valley_exc_Newcastle
SA,Adelaide - Central and Hills,Prospect,Major Cities of Australia,Collector Road,SA_Prospect_Adelaide___Central_and_Hills
QLD,Central Queensland,Gladstone,Outer Regional Australia,Access road,QLD_Gladstone_Central_Queensland
VIC,Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,Access road,VIC_Yarra_Ranges_Melbourne___Outer_East
VIC,Geelong,Greater Geelong,Inner Regional Australia,Local Road,VIC_Greater_Geelong_Geelong
NSW,Coffs Harbour - Grafton,Bellingen,Inner Regional Australia,National or State Highway,NSW_Bellingen_Coffs_Harbour___Grafton
VIC,Hume,Mansfield,Outer Regional Australia,National or State Highway,VIC_Mansfield_Hume
WA,Bunbury,Waroona,Inner Regional Australia,Local Road,WA_Waroona_Bunbury
WA,Western Australia - Outback (South),Chapman Valley,Outer Regional Australia,Arterial Road,WA_Chapman_Valley_Western_Australia___Outback_(South)
QLD,Gold Coast,Gold Coast,Major Cities of Australia,Access road,QLD_Gold_Coast_Gold_Coast
SA,South Australia - South East,Kingston (SA),Remote Australia,Arterial Road,SA_Kingston_(SA)_South_Australia___South_East
VIC,Melbourne - West,Melton,Major Cities of Australia,Collector Road,VIC_Melton_Melbourne___West
NSW,Far West and Orana,Cobar,Remote Australia,Sub-arterial Road,NSW_Cobar_Far_West_and_Orana
SA,Barossa - Yorke - Mid North,Goyder,Inner Regional Australia,Arterial Road,SA_Goyder_Barossa___Yorke___Mid_North
QLD,Queensland - Outback,Cook,Very Remote Australia,Access road,QLD_Cook_Queensland___Outback
VIC,Bendigo,Greater Bendigo,Inner Regional Australia,Collector Road,VIC_Greater_Bendigo_Bendigo
VIC,North West,Horsham,Outer Regional Australia,Local Road,VIC_Horsham_North_West
VIC,Ballarat,Pyrenees,Inner Regional Australia,Sub-arterial Road,VIC_Pyrenees_Ballarat
TAS,Launceston and North East,Launceston,Outer Regional Australia,Arterial Road,TAS_Launceston_Launceston_and_North_East
NSW,Murray,Berrigan,Inner Regional Australia,Sub-arterial Road,NSW_Berrigan_Murray
VIC,Ballarat,Golden Plains,Inner Regional Australia,National or State Highway,VIC_Golden_Plains_Ballarat
SA,Barossa - Yorke - Mid North,Wakefield,Outer Regional Australia,Local Road,SA_Wakefield_Barossa___Yorke___Mid_North
NSW,Capital Region,Bega Valley,Outer Regional Australia,Access road,NSW_Bega_Valley_Capital_Region
NT,Northern Territory - Outback,East Arnhem,Very Remote Australia,Arterial Road,NT_East_Arnhem_Northern_Territory___Outback
WA,Mandurah,Mandurah,Inner Regional Australia,Local Road,WA_Mandurah_Mandurah
TAS,Launceston and North East,Launceston,Outer Regional Australia,Sub-arterial Road,TAS_Launceston_Launceston_and_North_East
VIC,Melbourne - West,Maribyrnong,Major Cities of Australia,Sub-arterial Road,VIC_Maribyrnong_Melbourne___West
QLD,Toowoomba,Lockyer Valley,Inner Regional Australia,Local Road,QLD_Lockyer_Valley_Toowoomba
NSW,Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,Arterial Road,NSW_Blue_Mountains_Sydney___Outer_West_and_Blue_Mountains
VIC,Melbourne - Inner East,Boroondara,Major Cities of Australia,Collector Road,VIC_Boroondara_Melbourne___Inner_East
VIC,Melbourne - Inner South,Bayside (Vic.),Major Cities of Australia,National or State Highway,VIC_Bayside_(Vic.)_Melbourne___Inner_South
SA,South Australia - South East,Tatiara,Outer Regional Australia,National or State Highway,SA_Tatiara_South_Australia___South_East
NSW,Central West,Orange,Inner Regional Australia,Sub-arterial Road,NSW_Orange_Central_West
NSW,Sydney - City and Inner South,Inner West,Major Cities of Australia,Local Road,NSW_Inner_West_Sydney___City_and_Inner_South
NSW,Capital Region,Yass Valley,Major Cities of Australia,Arterial Road,NSW_Yass_Valley_Capital_Region
VIC,Bendigo,Loddon,Outer Regional Australia,Local Road,VIC_Loddon_Bendigo
VIC,Melbourne - Inner,Stonnington,Major Cities of Australia,Sub-arterial Road,VIC_Stonnington_Melbourne___Inner
NSW,Sydney - City and Inner South,Randwick,Major Cities of Australia,National or State Highway,NSW_Randwick_Sydney___City_and_Inner_South
WA,Western Australia - Wheat Belt,Toodyay,Inner Regional Australia,Local Road,WA_Toodyay_Western_Australia___Wheat_Belt
NSW,Central West,Oberon,Outer Regional Australia,Sub-arterial Road,NSW_Oberon_Central_West
NSW,Sydney - Outer West and Blue Mountains,Hawkesbury,Major Cities of Australia,Local Road,NSW_Hawkesbury_Sydney___Outer_West_and_Blue_Mountains
WA,Western Australia - Outback (South),Greater Geraldton,Remote Australia,Local Road,WA_Greater_Geraldton_Western_Australia___Outback_(South)
WA,Perth - South East,Kalamunda,Inner Regional Australia,Arterial Road,WA_Kalamunda_Perth___South_East
WA,Western Australia - Wheat Belt,Boddington,Inner Regional Australia,National or State Highway,WA_Boddington_Western_Australia___Wheat_Belt
QLD,Darling Downs - Maranoa,Maranoa,Remote Australia,Sub-arterial Road,QLD_Maranoa_Darling_Downs___Maranoa
VIC,Warrnambool and South West,Warrnambool,Inner Regional Australia,Access road,VIC_Warrnambool_Warrnambool_and_South_West
QLD,Queensland - Outback,Mareeba,Remote Australia,Sub-arterial Road,QLD_Mareeba_Queensland___Outback
SA,Adelaide - North,Light,Inner Regional Australia,Arterial Road,SA_Light_Adelaide___North
WA,Western Australia - Outback (South),Northampton,Remote Australia,National or State Highway,WA_Northampton_Western_Australia___Outback_(South)
NSW,Riverina,Coolamon,Outer Regional Australia,National or State Highway,NSW_Coolamon_Riverina
NSW,Capital Region,Upper Lachlan,Inner Regional Australia,Local Road,NSW_Upper_Lachlan_Capital_Region
VIC,Latrobe - Gippsland,South Gippsland,Outer Regional Australia,Local Road,VIC_South_Gippsland_Latrobe___Gippsland
NSW,Sydney - Inner South West,Bayside (NSW),Major Cities of Australia,Access road,NSW_Bayside_(NSW)_Sydney___Inner_South_West
WA,Western Australia - Outback (North),East Pilbara,Very Remote Australia,Arterial Road,WA_East_Pilbara_Western_Australia___Outback_(North)
NSW,Coffs Harbour - Grafton,Clarence Valley,Outer Regional Australia,Sub-arterial Road,NSW_Clarence_Valley_Coffs_Harbour___Grafton
WA,Western Australia - Wheat Belt,Kondinin,Remote Australia,National or State Highway,WA_Kondinin_Western_Australia___Wheat_Belt
VIC,Melbourne - Outer East,Knox,Major Cities of Australia,Collector Road,VIC_Knox_Melbourne___Outer_East
