crash_id,sa4_name
20243211,Mackay - Isaac - Whitsunday
20241270,Sydney - Baulkham Hills and Hawkesbury
20241225,Far West and Orana
20241084,Capital Region
20243050,Wide Bay
20243216,Logan - Beaudesert
20242190,Melbourne - South East
20243115,Logan - Beaudesert
20242116,Melbourne - West
20241129,Central Coast
20244076,Barossa - Yorke - Mid North
20243141,Brisbane - South
20241095,New England and North West
20242082,Latrobe - Gippsland
20241090,Sydney - Ryde
20241113,Capital Region
20243258,Cairns
20244053,Adelaide - North
20241064,New England and North West
20243175,Darling Downs - Maranoa
20243183,Mackay - Isaac - Whitsunday
20241049,Central West
20241242,Sydney - South West
20241144,Illawarra
20243262,Brisbane - South
20241001,Central Coast
20242231,Melbourne - Outer East
20241018,Sydney - Inner South West
20241105,Sydney - Parramatta
20241282,Coffs Harbour - Grafton
20243204,Brisbane - East
20243224,Brisbane Inner City
20243179,Moreton Bay - South
20241192,Sydney - South West
20241026,Illawarra
20241067,Central West
20242001,Melbourne - Outer East
20243013,Darling Downs - Maranoa
20241191,Murray
20242031,Melbourne - Inner East
20241117,Sydney - Baulkham Hills and Hawkesbury
20246020,Hobart
20241012,Mid North Coast
20242263,Hume
20242038,Latrobe - Gippsland
20246005,Hobart
20244030,South Australia - South East
20242061,Latrobe - Gippsland
20244036,Barossa - Yorke - Mid North
20242134,Melbourne - Inner
20243060,Central Queensland
20242002,Shepparton
20243057,Cairns
20243166,Wide Bay
20242203,Ballarat
20243196,Central Queensland
20241214,Illawarra
20242083,Ballarat
20241272,Sydney - South West
20241104,Sydney - Ryde
20243182,Brisbane Inner City
20242180,Melbourne - Outer East
20242126,Melbourne - Outer East
20241023,Murray
20243065,Ipswich
20243083,Logan - Beaudesert
20244070,Adelaide - North
20243048,Toowoomba
20241280,Coffs Harbour - Grafton
20242118,Melbourne - North West
20241193,Coffs Harbour - Grafton
20242150,North West
20241239,Sydney - Outer South West
20242111,Mornington Peninsula
20243255,Townsville
20241033,Hunter Valley exc Newcastle
20241288,Central West
20243012,Gold Coast
20241164,Capital Region
20243250,Moreton Bay - North
20242076,Melbourne - Inner South
20241099,Sydney - City and Inner South
20243052,Mackay - Isaac - Whitsunday
20241015,Far West and Orana
20243219,Ipswich
20241184,Illawarra
