crash_id,lga_name
20231067,Murrumbidgee
20231085,Burwood
20231026,Goulburn Mulwaree
20233263,Banana
20237021,Alice Springs
20231214,Murray River
20232181,Mitchell
20231086,Nambucca Valley
20232076,Moira
20233053,South Burnett
20233250,Moreton Bay
20233118,Somerset
20231011,Dubbo
20232135,Moonee Valley
20233035,Mackay
20237006,Victoria Daly
20233058,Fraser Coast
20233264,Brisbane
20232005,Manningham
20234005,Adelaide Hills
20231012,Lachlan
20231158,Inverell
20231248,Gwydir
20234006,Port Adelaide Enfield
20233204,Fraser Coast
20233027,Gympie
20232146,Greater Shepparton
20233162,Gold Coast
20232182,Bass Coast
20232042,Macedon Ranges
20231165,Central Coast (NSW)
20233143,Isaac
20231297,Inverell
20232023,Cardinia
20233153,Southern Downs
20232094,Moorabool
20231074,Coffs Harbour
20233059,Sunshine Coast
20233014,Ipswich
20232051,Melton
20231195,Bayside (NSW)
20231005,Canterbury-Bankstown
20232252,Manningham
20234109,Unincorporated SA
20231136,Snowy Valleys
20234052,Salisbury
20234056,Adelaide Plains
20232033,Banyule
20232116,Yarra Ranges
20232189,Greater Bendigo
20233169,Cloncurry
20232245,Latrobe (Vic.)
20231255,Blacktown
20231057,Lithgow
20233229,Gold Coast
20231238,Greater Hume
20234062,Adelaide Hills
20234048,Charles Sturt
20232214,Maroondah
20231150,Federation
20233093,South Burnett
20231109,Eurobodalla
20233247,McKinlay
20232224,Wyndham
20232069,Greater Shepparton
20232004,Strathbogie
20233066,South Burnett
20231101,Canterbury-Bankstown
20232190,Murrindindi
20233001,Brisbane
20232025,Greater Geelong
20231289,Wagga Wagga
20233045,Lockyer Valley
20231036,Mid-Coast
20233223,Toowoomba
20231264,Lithgow
20233249,Sunshine Coast
20232256,Latrobe (Vic.)
20231035,Coonamble
20231159,Canterbury-Bankstown
20232215,Mornington Peninsula
20232031,Benalla
20231242,Bayside (NSW)
20231046,Hornsby
20231087,Campbelltown (NSW)
20236007,Launceston
20231070,Richmond Valley
20231201,Shoalhaven
20233234,Lockyer Valley
20233209,Burdekin
20233094,Sunshine Coast
20231200,Nambucca Valley
